 ,Name,ID,DG,DrugOrNonDrug,logP,formula,exactmass,NumberofCarbons,wienerindex,MSA,PSA,apolarsurfacearea,donorCount,acceptorCount,rotatablebondCount,atomCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,aromaticringCount,aromaticatomCount,balabanindex,hararyindex,bondCount,hyperwienerindex,plattindex,randicindex,ringCount,szegedindex,wienerpolarity,DG_NHA,DG_MW,DG_PSA,DG_MSA,DG_apolarSA,DG_Wiener,DG_P,DG_NoC
203,3E+93,DR203,-12.08,0,4.13,C30H32N4O3,496.25,30,4905,644.8,65.92,578.88,2,6,5,69,32,37,57.87,2,4,21,1,159.15,74,27311,264,30.76,6,8012,61,-0.33,-0.02,-0.18,-0.02,-0.02,0,0,-0.4
204,3ebl,DR204,-8.6,0,1.91,C19H24O5,332.16,19,1002,398.31,83.83,314.48,2,5,1,48,24,24,34.23,5,0,0,1.47,101.24,52,2692,210,20.99,5,1781,59,-0.36,-0.03,-0.1,-0.02,-0.03,-0.01,-0.11,-0.45
205,3eeb,DR205,-8.03,0,-11.41,C6H18O24P6,659.86,6,3300,628.58,459.42,169.16,12,24,12,54,18,36,45.61,1,0,0,3.94,165.66,54,11784,180,24.47,1,4272,51,-0.22,-0.01,-0.02,-0.01,-0.05,0,-2060000000000,-1.34
206,3eko,DR206,-9.14,0,1.41,C11H9NO4,219.05,11,417,260.77,82.69,178.08,3,4,1,25,9,16,21.69,0,2,11,1.77,48.24,26,1118,78,11.72,2,602,23,-0.57,-0.04,-0.11,-0.04,-0.05,-0.02,-0.36,-0.83
207,3eqr,DR207,-11.87,0,2.26,C29H38N8O,514.32,29,5130,718.04,66.42,651.62,3,8,9,76,38,38,58.3,3,2,12,1.17,164.3,80,27512,284,33.53,5,7904,61,-0.31,-0.02,-0.18,-0.02,-0.02,0,-0.07,-0.41
208,3f15,DR208,-11.05,0,-2.45,C12H18N2O7S,334.08,12,1069,407.96,155.13,252.83,4,9,7,40,18,22,31.41,0,1,6,2.76,73.93,40,3679,134,17.74,1,1324,33,-0.5,-0.03,-0.07,-0.03,-0.04,-0.01,-3120,-0.92
209,3f16,DR209,-11.22,0,-1.37,C10H14N2O6S,290.06,10,740,345.11,121.31,223.8,4,8,5,33,14,19,27.08,0,1,6,2.41,59.14,33,2459,108,14.72,1,950,28,-0.59,-0.04,-0.09,-0.03,-0.05,-0.02,-263,-1.12
210,3f17,DR210,-11.77,0,1.15,C14H14N2O4S,306.07,14,1040,368.15,91.85,276.3,3,6,4,35,14,21,32.87,0,2,12,1.68,68.15,36,4021,116,15.86,2,1526,30,-0.56,-0.04,-0.13,-0.03,-0.04,-0.01,-0.83,-0.84
211,3f18,DR211,-10.1,0,-1.53,C10H13FN2O5S,292.05,10,708,340.32,125.67,214.65,3,8,5,32,13,19,26.12,0,1,6,2.54,59.81,32,2207,106,14.24,1,888,28,-0.53,-0.03,-0.08,-0.03,-0.05,-0.01,-342,-1.01
212,3f19,DR212,-9.8,0,-0.63,C8H9FN2O4S,248.03,8,473,277.95,91.85,186.1,3,7,3,25,9,16,21.8,0,1,6,2.37,45.37,25,1460,80,11.22,1,617,21,-0.61,-0.04,-0.11,-0.04,-0.05,-0.02,-41.8,-1.23
213,3f1a,DR213,-9.84,0,-0.79,C8H10N2O4S,230.04,8,392,270.03,91.85,178.18,3,6,3,25,10,15,22.02,0,1,6,2.19,41.16,25,1144,80,11.22,1,500,19,-0.66,-0.04,-0.11,-0.04,-0.06,-0.03,-60.7,-1.23
214,3f80,DR214,-5.76,0,-2.2,C6H12N2O4,176.08,6,247,235.07,83.12,151.95,2,6,6,24,12,12,16.32,0,0,0,3.2,26.92,23,739,80,10.37,0,247,11,-0.48,-0.03,-0.07,-0.02,-0.04,-0.02,-913,-0.96
215,3f8c,DR215,-10.47,0,2.81,C27H28N6O,452.23,27,4027,591.58,93.77,497.81,2,5,5,62,28,34,55.22,3,3,18,0.88,140.59,67,22373,234,27.85,6,6569,55,-0.31,-0.02,-0.11,-0.02,-0.02,0,-0.02,-0.39
216,3f8f,DR216,-9.04,0,0.14,C27H29NO10,527.18,27,4100,619.58,159.82,459.76,5,11,4,67,29,38,52.29,3,2,12,1.48,182.48,71,17274,254,29.92,5,8110,81,-0.24,-0.02,-0.06,-0.01,-0.02,0,-6.55,-0.33
